Amir,Seitkali,87001112233,mobile,amir@gmail.com,2000-01-15,Work
Dana,Bekova,87002223344,work,dana@mail.com,1995-05-20,Family
Aliya,Ivanova,87771234567,home,aliya@gmail.com,1998-03-10,Friend
Marat,Akhmetov,87019876543,mobile,marat@mail.com,1993-07-22,Work
Ainur,Suleimanova,87052345678,work,ainur@gmail.com,2001-11-30,Family
Daniyar,Nurmagambetov,87013456789,mobile,daniyar@mail.com,1997-04-18,Friend
Zarina,Kasymova,87024567890,home,zarina@gmail.com,1999-09-05,Other
Timur,Bekov,87035678901,mobile,timur@mail.com,1995-12-25,Work
Kamila,Yusupova,87046789012,work,kamila@gmail.com,2002-06-14,Family
Ruslan,Dzhaksybekov,87057890123,home,ruslan@mail.com,1990-02-28,Friend
Symbat,Akhanova,87068901234,mobile,symbat@gmail.com,2003-08-17,Other
Arman,Tulegenov,87079012345,work,arman@mail.com,1988-10-09,Work
Madina,Ospanova,87081123456,home,madina@gmail.com,1996-01-23,Family
Yerlan,Seitkali,87092234567,mobile,yerlan@mail.com,2000-03-11,Friend
Aizat,Bekova,87013345678,work,aizat@gmail.com,1994-07-04,Other
